S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
111,LBBL,435.00,-2.38,-0.54,437.00,445.00,433.00,"31,446.00",437.38
112,LBLD88,"1,043.10",2.00,0.19,"1,043.10","1,043.10","1,043.10",25.00,"1,041.10"
113,LEC,226.80,5.34,2.41,222.00,229.00,221.30,"372,668.00",221.46
114,LICN,915.90,24.96,2.80,900.00,920.00,891.10,"19,975.00",890.94
115,LLBS,"1,078.00",-1.52,-0.14,"1,099.90","1,099.90","1,078.00",30.00,"1,079.52"
116,LSL,211.70,-1.87,-0.88,217.80,217.80,210.30,"50,517.00",213.57
117,LUK,10.10,0.11,1.10,9.83,10.10,9.83,"12,080.00",9.99
118,LVF2,9.90,-0.11,-1.10,9.83,9.90,9.83,"1,100.00",10.01
119,MAKAR,606.20,-5.32,-0.87,606.00,615.00,600.50,"3,031.00",611.52
120,MANDU,866.00,-6.23,-0.71,889.00,889.00,860.60,780.00,872.23
121,MATRI,"1,160.00",-2.41,-0.21,"1,185.00","1,185.00","1,152.00",332.00,"1,162.41"
122,MBJC,352.50,21.18,6.39,336.50,362.00,336.50,"630,195.00",331.32
123,MBL,216.00,-1.29,-0.59,218.00,220.00,215.50,"30,863.00",217.29
124,MBLEF,9.18,0.18,2.00,8.86,9.18,8.86,"189,900.00",9.00
125,MCHL,546.00,0.92,0.17,555.00,555.00,544.00,"1,200.00",545.08
126,MDB,579.10,-3.88,-0.67,585.00,585.00,579.00,"8,884.00",582.98
127,MEHL,420.00,3.47,0.83,424.00,426.60,416.00,"8,866.00",416.53
128,MEL,313.40,-0.40,-0.13,319.70,319.70,313.00,"27,742.00",313.80
129,MEN,612.90,-2.99,-0.49,628.00,628.00,610.00,"71,248.00",615.89
130,MERO,748.00,-19.13,-2.49,779.00,779.00,748.00,"23,787.00",767.13
131,MFIL,585.10,-3.72,-0.63,589.00,596.60,581.20,"14,339.00",588.82
132,MHCL,430.00,-5.01,-1.15,428.30,434.90,426.50,"9,451.00",435.01
133,MHL,582.50,-5.05,-0.86,599.30,599.30,576.50,"1,530.00",587.55
134,MHNL,266.10,8.27,3.21,252.70,274.50,252.70,"86,583.00",257.83
135,MKCL,"1,486.00",6.74,0.46,"1,477.00","1,498.00","1,477.00","1,810.00","1,479.26"
136,MKHC,412.00,-10.00,-2.37,413.60,429.00,410.10,"8,408.00",422.00
137,MKHL,747.00,-6.26,-0.83,738.30,782.00,738.30,"62,140.00",753.26
138,MKJC,504.30,2.84,0.57,498.30,508.00,498.30,"3,858.00",501.46
139,MLBBL,"1,431.00",-7.47,-0.52,"1,433.00","1,434.00","1,431.00",237.00,"1,438.47"
140,MLBL,384.30,-2.91,-0.75,385.10,389.00,384.00,"21,665.00",387.21
141,MLBS,"1,480.00",-50.00,-3.27,"1,531.00","1,531.00","1,480.00",913.00,"1,530.00"
142,MLBSL,"2,116.00",-39.54,-1.83,"2,141.00","2,141.00","2,115.00","1,410.00","2,155.54"
143,MMF1,9.05,0.06,0.67,8.85,9.05,8.85,"124,827.00",8.99
144,MMKJL,558.10,-7.08,-1.25,558.00,568.00,548.00,"7,613.00",565.18
145,MNBBL,356.50,-2.34,-0.65,358.00,360.00,355.90,"38,583.00",358.84
146,MNMF1,9.12,-0.02,-0.22,9.11,9.30,9.10,"11,950.00",9.14
147,MPFL,585.00,-5.27,-0.89,590.70,600.90,585.00,"4,824.00",590.27
148,MSHL,875.00,-0.56,-0.06,875.00,893.00,875.00,300.00,875.56
149,MSLB,"1,185.70",-19.94,-1.65,"1,190.00","1,224.90","1,185.00","1,735.00","1,205.64"
150,NABBC,"1,600.00",6.45,0.40,"1,564.00","1,625.00","1,564.00","20,858.00","1,593.55"
151,NABIL,489.00,-0.97,-0.20,494.80,494.80,487.00,"26,761.00",489.97
152,NADEP,832.00,-28.55,-3.32,844.00,849.60,832.00,"1,240.00",860.55
153,NBF2,9.88,-0.08,-0.80,9.81,9.90,9.81,"6,778.00",9.96
154,NBF3,9.60,-0.12,-1.23,9.60,9.80,9.60,"52,250.00",9.72
155,NBL,253.10,-1.10,-0.43,258.00,258.00,253.00,"31,689.00",254.20
156,NBLD85,"1,036.00",1.00,0.10,"1,036.00","1,036.00","1,036.00",50.00,"1,035.00"
157,NBLD87,"1,042.20",-4.80,-0.46,"1,042.20","1,042.20","1,042.20",25.00,"1,047.00"
158,NESDO,"1,540.00",-21.97,-1.41,"1,555.10","1,565.00","1,540.00","1,472.00","1,561.97"
159,NFS,618.00,-2.96,-0.48,618.00,626.00,617.40,"9,096.00",620.96
160,NGPL,420.60,9.37,2.28,405.00,430.00,405.00,"1,271,004.00",411.23
161,NHDL,672.00,-3.62,-0.54,688.00,688.90,670.30,"6,047.00",675.62
162,NHPC,224.80,4.23,1.92,223.00,225.00,219.10,"157,563.00",220.57
163,NIBD84,"1,051.00",4.90,0.47,"1,055.00","1,055.00","1,051.00",50.00,"1,046.10"
164,NIBLGF,8.85,-0.18,-1.99,9.03,9.10,8.85,"11,460.00",9.03
165,NIBLSTF,8.25,-0.05,-0.60,8.46,8.50,8.25,"7,493.00",8.30
166,NIBSF2,8.36,-0.01,-0.12,8.23,8.52,8.22,"18,150.00",8.37
167,NICA,340.00,-1.66,-0.49,344.90,345.90,337.20,"140,762.00",341.66
168,NICAD8283,"1,067.90",2.80,0.26,"1,047.00","1,067.90","1,047.00",26.00,"1,065.10"
169,NICBF,9.02,-0.17,-1.85,9.02,9.02,9.02,500.00,9.19
170,NICFC,9.21,-0.04,-0.43,9.08,9.26,9.08,"9,650.00",9.25
171,NICGF2,8.55,-0.08,-0.93,8.50,8.60,8.50,"2,600.00",8.63
172,NICL,612.00,-3.82,-0.62,615.00,615.00,611.20,"2,684.00",615.82
173,NICLBSL,615.00,-1.08,-0.18,610.50,615.00,610.50,"1,956.00",616.08
174,NICSF,9.00,-0.05,-0.55,9.00,9.00,8.88,"8,300.00",9.05
175,NIFRA,277.80,-1.31,-0.47,274.00,283.50,274.00,"113,102.00",279.11
176,NIL,680.50,1.38,0.20,679.00,683.90,679.00,"6,089.00",679.12
177,NIMB,208.80,-0.09,-0.04,210.00,211.00,208.60,"35,840.00",208.89
178,NIMBPO,155.60,-2.90,-1.83,155.60,155.60,155.60,289.00,158.50
179,NLG,760.20,-0.38,-0.05,757.80,769.90,757.80,"7,393.00",760.58
180,NLIC,743.50,-1.59,-0.21,743.90,750.00,743.30,"24,807.00",745.09
181,NLICL,585.10,0.10,0.02,587.00,591.00,581.00,"8,967.00",585.00
182,NMB,237.70,-0.71,-0.30,238.50,238.50,237.40,"17,257.00",238.41
183,NMBD87/88,"1,061.00",-17.00,-1.58,"1,061.00","1,061.00","1,061.00",25.00,"1,078.00"
184,NMBHF2,8.57,-0.13,-1.49,8.56,8.61,8.56,"4,900.00",8.70
185,NMBMF,685.00,-5.48,-0.79,686.10,686.10,681.40,"1,890.00",690.48
186,NMFBS,"1,225.10",-2.16,-0.18,"1,234.00","1,234.00","1,225.10","2,052.00","1,227.26"
187,NMIC,"1,600.00",-51.26,-3.10,"1,630.10","1,664.00","1,598.00","9,509.00","1,651.26"
188,NMLBBL,640.00,-4.23,-0.66,644.00,645.60,633.00,"1,304.00",644.23
189,NRIC,"1,237.00",-8.20,-0.66,"1,221.00","1,269.00","1,221.00","14,466.00","1,245.20"
190,NRM,450.00,-5.19,-1.14,464.00,464.00,448.30,"16,435.00",455.19
191,NRN,"1,978.00",-6.26,-0.32,"2,000.00","2,000.00","1,971.00","24,164.00","1,984.26"
192,NSIF2,10.54,-0.05,-0.47,10.41,10.54,10.41,"3,300.00",10.59
193,NTC,842.00,-2.60,-0.31,844.60,848.00,842.00,"7,571.00",844.60
194,NUBL,675.00,-5.79,-0.85,675.10,677.10,673.00,"4,316.00",680.79
195,NWCL,885.00,11.44,1.31,866.20,890.00,866.20,423.00,873.56
196,NYADI,429.00,-6.75,-1.55,444.40,444.40,419.60,"36,254.00",435.75
197,OHL,906.00,5.45,0.61,895.10,912.00,890.20,"8,267.00",900.55
198,OMPL,"1,372.00",-33.88,-2.41,"1,400.00","1,402.00","1,370.00","18,575.00","1,405.88"
199,PBD88,"1,136.00",2.00,0.18,"1,136.00","1,136.00","1,136.00",25.00,"1,134.00"
200,PCBL,238.40,-0.08,-0.03,238.90,239.10,238.00,"16,905.00",238.48
201,PFL,401.10,-3.69,-0.91,410.00,410.00,400.40,"11,233.00",404.79
202,PHCL,500.00,-9.15,-1.80,510.00,510.00,495.10,"16,820.00",509.15
203,PMHPL,366.00,29.12,8.64,340.00,370.50,340.00,"315,653.00",336.88
